.\Prefabs\Coin\coin1.png | (74,72)-> (76,72)
.\Room\1_New_Living room\UI\c1_r1_window_icon.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r10_wall_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r1_curtain_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r1_plant_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r1_rightsofa_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_bedside_2.png | (329,334)-> (332,336)
.\Room\2_NewBedRoom\Texture2D\c1_r2_bedside_3.png | (236,286)-> (236,288)
.\Room\2_NewBedRoom\Texture2D\c1_r2_bed_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_carpet_1.png | (1344,230)-> (1344,232)
.\Room\2_NewBedRoom\Texture2D\c1_r2_carpet_2.png | (1451,232)-> (1452,232)
.\Room\2_NewBedRoom\Texture2D\c1_r2_carpet_3.png | (1388,183)-> (1388,184)
.\Room\2_NewBedRoom\Texture2D\c1_r2_carpet_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_curtain_1.png | (547,1424)-> (548,1424)
.\Room\2_NewBedRoom\Texture2D\c1_r2_curtain_3.png | (402,1309)-> (404,1312)
.\Room\2_NewBedRoom\Texture2D\c1_r2_decoration_1.png | (427,257)-> (428,260)
.\Room\2_NewBedRoom\Texture2D\c1_r2_decoration_2.png | (427,250)-> (428,252)
.\Room\2_NewBedRoom\Texture2D\c1_r2_decoration_3.png | (427,255)-> (428,256)
.\Room\2_NewBedRoom\Texture2D\c1_r2_decoration_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_floor_0.png | (958,163)-> (960,164)
.\Room\2_NewBedRoom\Texture2D\c1_r2_floor_1.png | (958,163)-> (960,164)
.\Room\2_NewBedRoom\Texture2D\c1_r2_floor_2.png | (958,163)-> (960,164)
.\Room\2_NewBedRoom\Texture2D\c1_r2_floor_3.png | (958,163)-> (960,164)
.\Room\2_NewBedRoom\Texture2D\c1_r2_lamp_1.png | (279,733)-> (280,736)
.\Room\2_NewBedRoom\Texture2D\c1_r2_lamp_2.png | (251,701)-> (252,704)
