.\Prefabs\Coin\coin1.png | (74,72)-> (76,72)
.\Room\5_Work Place\UI\c1_r5_cabinet_3_mini.png | (192,182)-> (192,184)
.\Room\5_Work Place\UI\c1_r5_cabinet_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_carpet_1_mini.png | (207,104)-> (208,104)
.\Room\5_Work Place\UI\c1_r5_carpet_2_mini.png | (207,104)-> (208,104)
.\Room\5_Work Place\UI\c1_r5_carpet_3_mini.png | (207,104)-> (208,104)
.\Room\5_Work Place\UI\c1_r5_carpet_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_chair_1_mini.png | (178,185)-> (180,188)
.\Room\5_Work Place\UI\c1_r5_chair_2_mini.png | (153,191)-> (156,192)
.\Room\5_Work Place\UI\c1_r5_chair_3_mini.png | (154,176)-> (156,176)
.\Room\5_Work Place\UI\c1_r5_chair_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_chart_1_mini.png | (175,144)-> (176,144)
.\Room\5_Work Place\UI\c1_r5_chart_2_mini.png | (158,176)-> (160,176)
.\Room\5_Work Place\UI\c1_r5_chart_3_mini.png | (159,161)-> (160,164)
.\Room\5_Work Place\UI\c1_r5_chart_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_computer_1_mini.png | (204,122)-> (204,124)
.\Room\5_Work Place\UI\c1_r5_computer_2_mini.png | (198,119)-> (200,120)
.\Room\5_Work Place\UI\c1_r5_computer_3_mini.png | (197,121)-> (200,124)
.\Room\5_Work Place\UI\c1_r5_computer_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_decoration_1_mini.png | (65,201)-> (68,204)
.\Room\5_Work Place\UI\c1_r5_decoration_2_mini.png | (82,169)-> (84,172)
.\Room\5_Work Place\UI\c1_r5_decoration_3_mini.png | (81,191)-> (84,192)
.\Room\5_Work Place\UI\c1_r5_decoration_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_drawing_1_mini.png | (175,166)-> (176,168)
.\Room\5_Work Place\UI\c1_r5_drawing_2_mini.png | (213,170)-> (216,172)
.\Room\5_Work Place\UI\c1_r5_drawing_3_mini.png | (200,189)-> (200,192)
.\Room\5_Work Place\UI\c1_r5_drawing_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_droplight_1_mini.png | (209,122)-> (212,124)
.\Room\5_Work Place\UI\c1_r5_droplight_2_mini.png | (191,137)-> (192,140)
.\Room\5_Work Place\UI\c1_r5_droplight_3_mini.png | (166,137)-> (168,140)
.\Room\5_Work Place\UI\c1_r5_droplight_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_floor_1_mini.png | (207,104)-> (208,104)
.\Room\5_Work Place\UI\c1_r5_floor_2_mini.png | (207,104)-> (208,104)
.\Room\5_Work Place\UI\c1_r5_floor_3_mini.png | (207,104)-> (208,104)
.\Room\5_Work Place\UI\c1_r5_floor_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_light_1_mini.png | (109,158)-> (112,160)
.\Room\5_Work Place\UI\c1_r5_light_2_mini.png | (143,145)-> (144,148)
.\Room\5_Work Place\UI\c1_r5_light_3_mini.png | (67,162)-> (68,164)
.\Room\5_Work Place\UI\c1_r5_light_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_model_1_mini.png | (203,153)-> (204,156)
.\Room\5_Work Place\UI\c1_r5_model_2_mini.png | (203,142)-> (204,144)
.\Room\5_Work Place\UI\c1_r5_model_3_mini.png | (203,112)-> (204,112)
.\Room\5_Work Place\UI\c1_r5_model_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_paper_1_mini.png | (75,189)-> (76,192)
.\Room\5_Work Place\UI\c1_r5_paper_3_mini.png | (99,190)-> (100,192)
.\Room\5_Work Place\UI\c1_r5_paper_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_photo_1_mini.png | (209,57)-> (212,60)
.\Room\5_Work Place\UI\c1_r5_photo_3_mini.png | (208,74)-> (208,76)
.\Room\5_Work Place\UI\c1_r5_photo_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_picture_1_mini.png | (78,189)-> (80,192)
.\Room\5_Work Place\UI\c1_r5_picture_2_mini.png | (81,189)-> (84,192)
.\Room\5_Work Place\UI\c1_r5_picture_3_mini.png | (81,188)-> (84,188)
.\Room\5_Work Place\UI\c1_r5_picture_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_plant_1_mini.png | (117,204)-> (120,204)
.\Room\5_Work Place\UI\c1_r5_plant_2_mini.png | (155,197)-> (156,200)
.\Room\5_Work Place\UI\c1_r5_plant_3_mini.png | (158,195)-> (160,196)
.\Room\5_Work Place\UI\c1_r5_plant_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_shortcabinet_1_mini.png | (164,154)-> (164,156)
.\Room\5_Work Place\UI\c1_r5_shortcabinet_2_mini.png | (181,145)-> (184,148)
.\Room\5_Work Place\UI\c1_r5_shortcabinet_3_mini.png | (166,163)-> (168,164)
.\Room\5_Work Place\UI\c1_r5_shortcabinet_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_table_1_mini.png | (211,73)-> (212,76)
.\Room\5_Work Place\UI\c1_r5_table_2_mini.png | (211,73)-> (212,76)
.\Room\5_Work Place\UI\c1_r5_table_3_mini.png | (213,73)-> (216,76)
.\Room\5_Work Place\UI\c1_r5_table_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_wall_1_mini.png | (189,149)-> (192,152)
.\Room\5_Work Place\UI\c1_r5_wall_2_mini.png | (189,149)-> (192,152)
.\Room\5_Work Place\UI\c1_r5_wall_3_mini.png | (189,149)-> (192,152)
.\Room\5_Work Place\UI\c1_r5_wall_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_window_1_mini.png | (169,160)-> (172,160)
.\Room\5_Work Place\UI\c1_r5_window_2_mini.png | (169,160)-> (172,160)
.\Room\5_Work Place\UI\c1_r5_window_3_mini.png | (169,160)-> (172,160)
.\Room\5_Work Place\UI\c1_r5_window_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\Texture2D\c1_r6_candle_1.png | (99,144)-> (100,144)
.\Room\6_Modern Bar\Texture2D\c1_r6_candle_2.png | (159,130)-> (160,132)
.\Room\6_Modern Bar\Texture2D\c1_r6_candle_3.png | (84,150)-> (84,152)
.\Room\6_Modern Bar\Texture2D\c1_r6_coffee_1.png | (226,136)-> (228,136)
.\Room\6_Modern Bar\Texture2D\c1_r6_coffee_2.png | (280,143)-> (280,144)
.\Room\6_Modern Bar\Texture2D\c1_r6_coffee_3.png | (244,139)-> (244,140)
.\Room\6_Modern Bar\Texture2D\c1_r6_drinks_2.png | (278,148)-> (280,148)
.\Room\6_Modern Bar\Texture2D\c1_r6_drinks_3.png | (320,169)-> (320,172)
.\Room\6_Modern Bar\Texture2D\c1_r6_fruits_1.png | (151,172)-> (152,172)
.\Room\6_Modern Bar\Texture2D\c1_r6_fruits_2.png | (185,157)-> (188,160)
.\Room\6_Modern Bar\Texture2D\c1_r6_plant_1.png | (678,216)-> (680,216)
.\Room\6_Modern Bar\Texture2D\c1_r6_plant_3.png | (688,282)-> (688,284)
.\Room\6_Modern Bar\Texture2D\c1_r6_table_1.png | (254,348)-> (256,348)
.\Room\6_Modern Bar\Texture2D\c1_r6_table_2.png | (272,335)-> (272,336)
.\Room\6_Modern Bar\Texture2D\c1_r6_table_3.png | (317,321)-> (320,324)
.\Room\6_Modern Bar\Texture2D\c1_r6_wine_1.png | (148,149)-> (148,152)
.\Room\6_Modern Bar\Texture2D\c1_r6_wine_2.png | (167,168)-> (168,168)
.\Room\6_Modern Bar\Texture2D\c1_r6_wine_3.png | (87,188)-> (88,188)
.\Room\6_Modern Bar\UI\c1_r6_barstool_1_mini.png | (204,167)-> (204,168)
.\Room\6_Modern Bar\UI\c1_r6_barstool_2_mini.png | (214,160)-> (216,160)
.\Room\6_Modern Bar\UI\c1_r6_barstool_3_mini.png | (196,143)-> (196,144)
.\Room\6_Modern Bar\UI\c1_r6_barstool_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_bar_1_mini.png | (207,84)-> (208,84)
.\Room\6_Modern Bar\UI\c1_r6_bar_2_mini.png | (210,86)-> (212,88)
.\Room\6_Modern Bar\UI\c1_r6_bar_3_mini.png | (207,85)-> (208,88)
.\Room\6_Modern Bar\UI\c1_r6_bar_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_cabinet_1_mini.png | (153,189)-> (156,192)
.\Room\6_Modern Bar\UI\c1_r6_cabinet_2_mini.png | (156,186)-> (156,188)
.\Room\6_Modern Bar\UI\c1_r6_cabinet_3_mini.png | (153,187)-> (156,188)
.\Room\6_Modern Bar\UI\c1_r6_cabinet_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_candle_1_mini.png | (125,183)-> (128,184)
.\Room\6_Modern Bar\UI\c1_r6_candle_2_mini.png | (205,163)-> (208,164)
.\Room\6_Modern Bar\UI\c1_r6_candle_3_mini.png | (106,191)-> (108,192)
.\Room\6_Modern Bar\UI\c1_r6_candle_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_chair_1_1_mini.png | (142,194)-> (144,196)
.\Room\6_Modern Bar\UI\c1_r6_chair_1_2_mini.png | (133,194)-> (136,196)
.\Room\6_Modern Bar\UI\c1_r6_chair_2_1_mini.png | (142,194)-> (144,196)
.\Room\6_Modern Bar\UI\c1_r6_chair_2_2_mini.png | (133,194)-> (136,196)
.\Room\6_Modern Bar\UI\c1_r6_chair_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_coffee_1_mini.png | (174,105)-> (176,108)
.\Room\6_Modern Bar\UI\c1_r6_coffee_2_mini.png | (204,105)-> (204,108)
.\Room\6_Modern Bar\UI\c1_r6_coffee_3_mini.png | (187,108)-> (188,108)
.\Room\6_Modern Bar\UI\c1_r6_coffee_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_curtain_1_mini.png | (156,141)-> (156,144)
.\Room\6_Modern Bar\UI\c1_r6_curtain_2_mini.png | (166,123)-> (168,124)
.\Room\6_Modern Bar\UI\c1_r6_curtain_3_mini.png | (168,137)-> (168,140)
.\Room\6_Modern Bar\UI\c1_r6_curtain_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_drinks_1_mini.png | (183,108)-> (184,108)
.\Room\6_Modern Bar\UI\c1_r6_drinks_2_mini.png | (186,99)-> (188,100)
.\Room\6_Modern Bar\UI\c1_r6_drinks_3_mini.png | (209,111)-> (212,112)
.\Room\6_Modern Bar\UI\c1_r6_drinks_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_floor_1_mini.png | (207,104)-> (208,104)
.\Room\6_Modern Bar\UI\c1_r6_floor_2_mini.png | (207,104)-> (208,104)
.\Room\6_Modern Bar\UI\c1_r6_floor_3_mini.png | (207,104)-> (208,104)
.\Room\6_Modern Bar\UI\c1_r6_floor_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_flowers_1_mini.png | (188,174)-> (188,176)
.\Room\6_Modern Bar\UI\c1_r6_flowers_2_mini.png | (195,189)-> (196,192)
.\Room\6_Modern Bar\UI\c1_r6_flowers_3_mini.png | (207,159)-> (208,160)
.\Room\6_Modern Bar\UI\c1_r6_flowers_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_fruits_1_mini.png | (151,174)-> (152,176)
.\Room\6_Modern Bar\UI\c1_r6_fruits_2_mini.png | (188,159)-> (188,160)
.\Room\6_Modern Bar\UI\c1_r6_fruits_3_mini.png | (184,138)-> (184,140)
.\Room\6_Modern Bar\UI\c1_r6_fruits_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_lamp_1_mini.png | (193,135)-> (196,136)
.\Room\6_Modern Bar\UI\c1_r6_lamp_2_mini.png | (202,132)-> (204,132)
.\Room\6_Modern Bar\UI\c1_r6_lamp_3_mini.png | (201,130)-> (204,132)
.\Room\6_Modern Bar\UI\c1_r6_lamp_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_light_1_mini.png | (139,149)-> (140,152)
.\Room\6_Modern Bar\UI\c1_r6_light_2_mini.png | (122,177)-> (124,180)
.\Room\6_Modern Bar\UI\c1_r6_light_3_mini.png | (83,199)-> (84,200)
.\Room\6_Modern Bar\UI\c1_r6_light_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_picture_1_mini.png | (101,139)-> (104,140)
.\Room\6_Modern Bar\UI\c1_r6_picture_2_mini.png | (180,210)-> (180,212)
.\Room\6_Modern Bar\UI\c1_r6_picture_3_mini.png | (115,168)-> (116,168)
.\Room\6_Modern Bar\UI\c1_r6_picture_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_plant_1_mini.png | (212,67)-> (212,68)
.\Room\6_Modern Bar\UI\c1_r6_plant_2_mini.png | (212,70)-> (212,72)
.\Room\6_Modern Bar\UI\c1_r6_plant_3_mini.png | (212,90)-> (212,92)
.\Room\6_Modern Bar\UI\c1_r6_plant_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_shelf_1_mini.png | (154,210)-> (156,212)
.\Room\6_Modern Bar\UI\c1_r6_shelf_2_mini.png | (142,200)-> (144,200)
.\Room\6_Modern Bar\UI\c1_r6_shelf_3_mini.png | (151,207)-> (152,208)
.\Room\6_Modern Bar\UI\c1_r6_shelf_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_table_1_mini.png | (154,175)-> (156,176)
.\Room\6_Modern Bar\UI\c1_r6_table_2_mini.png | (164,173)-> (164,176)
.\Room\6_Modern Bar\UI\c1_r6_table_3_mini.png | (177,172)-> (180,172)
.\Room\6_Modern Bar\UI\c1_r6_table_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_wall_1_mini.png | (189,149)-> (192,152)
.\Room\6_Modern Bar\UI\c1_r6_wall_2_mini.png | (189,149)-> (192,152)
.\Room\6_Modern Bar\UI\c1_r6_wall_3_mini.png | (189,149)-> (192,152)
.\Room\6_Modern Bar\UI\c1_r6_wall_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_window_1_mini.png | (101,198)-> (104,200)
.\Room\6_Modern Bar\UI\c1_r6_window_2_mini.png | (101,198)-> (104,200)
.\Room\6_Modern Bar\UI\c1_r6_window_3_mini.png | (101,198)-> (104,200)
.\Room\6_Modern Bar\UI\c1_r6_window_icon.png | (113,113)-> (116,116)
.\Room\6_Modern Bar\UI\c1_r6_wine_1_mini.png | (150,149)-> (152,152)
.\Room\6_Modern Bar\UI\c1_r6_wine_2_mini.png | (154,156)-> (156,156)
.\Room\6_Modern Bar\UI\c1_r6_wine_3_mini.png | (86,187)-> (88,188)
.\Room\6_Modern Bar\UI\c1_r6_wine_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\Texture2D\c1_r7_decoration_2.png | (192,194)-> (192,196)
.\Room\7_Restaurant\Texture2D\c1_r7_decoration_3.png | (335,108)-> (336,108)
.\Room\7_Restaurant\Texture2D\c1_r7_flower_1.png | (238,131)-> (240,132)
.\Room\7_Restaurant\Texture2D\c1_r7_flower_2.png | (241,148)-> (244,148)
.\Room\7_Restaurant\Texture2D\c1_r7_flower_3.png | (293,169)-> (296,172)
.\Room\7_Restaurant\Texture2D\c1_r7_picture_1.png | (97,309)-> (100,312)
.\Room\7_Restaurant\Texture2D\c1_r7_picture_2.png | (97,361)-> (100,364)
.\Room\7_Restaurant\Texture2D\c1_r7_plant_2.png | (148,306)-> (148,308)
.\Room\7_Restaurant\UI\c1_r7_cabinet_1_mini.png | (161,170)-> (164,172)
.\Room\7_Restaurant\UI\c1_r7_cabinet_2_mini.png | (163,180)-> (164,180)
.\Room\7_Restaurant\UI\c1_r7_cabinet_3_mini.png | (174,181)-> (176,184)
.\Room\7_Restaurant\UI\c1_r7_cabinet_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_cart_1_mini.png | (137,190)-> (140,192)
.\Room\7_Restaurant\UI\c1_r7_cart_2_mini.png | (137,172)-> (140,172)
.\Room\7_Restaurant\UI\c1_r7_cart_3_mini.png | (127,206)-> (128,208)
.\Room\7_Restaurant\UI\c1_r7_cart_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_chair_1_mini.png | (142,188)-> (144,188)
.\Room\7_Restaurant\UI\c1_r7_chair_2_mini.png | (131,205)-> (132,208)
.\Room\7_Restaurant\UI\c1_r7_chair_3_mini.png | (140,177)-> (140,180)
.\Room\7_Restaurant\UI\c1_r7_chair_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_curtain_1_mini.png | (98,202)-> (100,204)
.\Room\7_Restaurant\UI\c1_r7_curtain_2_mini.png | (99,202)-> (100,204)
.\Room\7_Restaurant\UI\c1_r7_curtain_3_mini.png | (92,201)-> (92,204)
.\Room\7_Restaurant\UI\c1_r7_curtain_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_decoration_1_mini.png | (214,210)-> (216,212)
.\Room\7_Restaurant\UI\c1_r7_decoration_2_mini.png | (145,146)-> (148,148)
.\Room\7_Restaurant\UI\c1_r7_decoration_3_mini.png | (204,67)-> (204,68)
.\Room\7_Restaurant\UI\c1_r7_decoration_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_desktop_1_mini.png | (164,170)-> (164,172)
.\Room\7_Restaurant\UI\c1_r7_desktop_2_mini.png | (153,200)-> (156,200)
.\Room\7_Restaurant\UI\c1_r7_desktop_3_mini.png | (139,203)-> (140,204)
.\Room\7_Restaurant\UI\c1_r7_desktop_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_floor_1_mini.png | (207,104)-> (208,104)
.\Room\7_Restaurant\UI\c1_r7_floor_2_mini.png | (207,104)-> (208,104)
.\Room\7_Restaurant\UI\c1_r7_floor_3_mini.png | (207,104)-> (208,104)
.\Room\7_Restaurant\UI\c1_r7_floor_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_flower_1_mini.png | (199,109)-> (200,112)
.\Room\7_Restaurant\UI\c1_r7_flower_2_mini.png | (200,123)-> (200,124)
.\Room\7_Restaurant\UI\c1_r7_flower_3_mini.png | (214,125)-> (216,128)
.\Room\7_Restaurant\UI\c1_r7_flower_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_fourchairs_1_mini.png | (114,175)-> (116,176)
.\Room\7_Restaurant\UI\c1_r7_fourchairs_2_mini.png | (102,196)-> (104,196)
.\Room\7_Restaurant\UI\c1_r7_fourchairs_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_lamp_1_mini.png | (179,113)-> (180,116)
.\Room\7_Restaurant\UI\c1_r7_lamp_2_mini.png | (187,114)-> (188,116)
.\Room\7_Restaurant\UI\c1_r7_lamp_3_mini.png | (186,128)-> (188,128)
.\Room\7_Restaurant\UI\c1_r7_lamp_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_picture_1_mini.png | (63,198)-> (64,200)
.\Room\7_Restaurant\UI\c1_r7_picture_2_mini.png | (56,202)-> (56,204)
.\Room\7_Restaurant\UI\c1_r7_picture_3_mini.png | (49,190)-> (52,192)
.\Room\7_Restaurant\UI\c1_r7_picture_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_plant_1_mini.png | (120,202)-> (120,204)
.\Room\7_Restaurant\UI\c1_r7_plant_2_mini.png | (95,195)-> (96,196)
.\Room\7_Restaurant\UI\c1_r7_plant_3_mini.png | (104,197)-> (104,200)
.\Room\7_Restaurant\UI\c1_r7_plant_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_roundtable_1_mini.png | (206,179)-> (208,180)
.\Room\7_Restaurant\UI\c1_r7_roundtable_2_mini.png | (213,176)-> (216,176)
.\Room\7_Restaurant\UI\c1_r7_roundtable_3_mini.png | (212,162)-> (212,164)
.\Room\7_Restaurant\UI\c1_r7_roundtable_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_sofa_1_mini.png | (214,66)-> (216,68)
.\Room\7_Restaurant\UI\c1_r7_sofa_2_mini.png | (214,67)-> (216,68)
.\Room\7_Restaurant\UI\c1_r7_sofa_3_mini.png | (214,66)-> (216,68)
.\Room\7_Restaurant\UI\c1_r7_sofa_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_statue_1_mini.png | (70,201)-> (72,204)
.\Room\7_Restaurant\UI\c1_r7_statue_2_mini.png | (78,190)-> (80,192)
.\Room\7_Restaurant\UI\c1_r7_statue_3_mini.png | (89,201)-> (92,204)
.\Room\7_Restaurant\UI\c1_r7_statue_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_table_1_mini.png | (185,144)-> (188,144)
.\Room\7_Restaurant\UI\c1_r7_table_2_mini.png | (193,150)-> (196,152)
.\Room\7_Restaurant\UI\c1_r7_table_3_mini.png | (190,151)-> (192,152)
.\Room\7_Restaurant\UI\c1_r7_table_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_tile_1_mini.png | (207,104)-> (208,104)
.\Room\7_Restaurant\UI\c1_r7_tile_2_mini.png | (207,104)-> (208,104)
.\Room\7_Restaurant\UI\c1_r7_tile_3_mini.png | (207,104)-> (208,104)
.\Room\7_Restaurant\UI\c1_r7_tile_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_top_1_mini.png | (214,55)-> (216,56)
.\Room\7_Restaurant\UI\c1_r7_top_2_mini.png | (214,55)-> (216,56)
.\Room\7_Restaurant\UI\c1_r7_top_3_mini.png | (214,55)-> (216,56)
.\Room\7_Restaurant\UI\c1_r7_top_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_wall_1_mini.png | (189,149)-> (192,152)
.\Room\7_Restaurant\UI\c1_r7_wall_2_mini.png | (189,149)-> (192,152)
.\Room\7_Restaurant\UI\c1_r7_wall_3_mini.png | (189,149)-> (192,152)
.\Room\7_Restaurant\UI\c1_r7_wall_icon.png | (113,113)-> (116,116)
.\Room\7_Restaurant\UI\c1_r7_window_1_mini.png | (109,201)-> (112,204)
.\Room\7_Restaurant\UI\c1_r7_window_2_mini.png | (109,201)-> (112,204)
.\Room\7_Restaurant\UI\c1_r7_window_3_mini.png | (109,202)-> (112,204)
.\Room\7_Restaurant\UI\c1_r7_window_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_dishes_1.png | (299,96)-> (300,96)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_pan_2_1.png | (379,106)-> (380,108)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_pan_2_2.png | (379,96)-> (380,96)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_pan_2_3.png | (347,118)-> (348,120)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_shelf_2.png | (227,303)-> (228,304)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_shelf_3.png | (237,250)-> (240,252)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_soup_1.png | (383,147)-> (384,148)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_soup_2.png | (372,147)-> (372,148)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_trash_1.png | (171,206)-> (172,208)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_window_0.png | (154,284)-> (156,284)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_window_1.png | (134,270)-> (136,272)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_window_2.png | (141,277)-> (144,280)
.\Room\8_Modern Kitchen\Texture2D\c1_r8_window_3.png | (133,271)-> (136,272)
.\Room\8_Modern Kitchen\UI\c1_r8_bread_1_mini.png | (195,97)-> (196,100)
.\Room\8_Modern Kitchen\UI\c1_r8_bread_2_mini.png | (214,71)-> (216,72)
.\Room\8_Modern Kitchen\UI\c1_r8_bread_3_mini.png | (147,79)-> (148,80)
.\Room\8_Modern Kitchen\UI\c1_r8_bread_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_cabinet_1_1_mini.png | (181,172)-> (184,172)
.\Room\8_Modern Kitchen\UI\c1_r8_cabinet_1_2_mini.png | (186,179)-> (188,180)
.\Room\8_Modern Kitchen\UI\c1_r8_cabinet_1_3_mini.png | (189,141)-> (192,144)
.\Room\8_Modern Kitchen\UI\c1_r8_cabinet_2_1_mini.png | (181,172)-> (184,172)
.\Room\8_Modern Kitchen\UI\c1_r8_cabinet_2_2_mini.png | (186,179)-> (188,180)
.\Room\8_Modern Kitchen\UI\c1_r8_cabinet_2_3_mini.png | (189,141)-> (192,144)
.\Room\8_Modern Kitchen\UI\c1_r8_cabinet_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_cart_1_mini.png | (159,145)-> (160,148)
.\Room\8_Modern Kitchen\UI\c1_r8_cart_2_mini.png | (193,144)-> (196,144)
.\Room\8_Modern Kitchen\UI\c1_r8_cart_3_mini.png | (193,144)-> (196,144)
.\Room\8_Modern Kitchen\UI\c1_r8_cart_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_dishes_1_mini.png | (212,69)-> (212,72)
.\Room\8_Modern Kitchen\UI\c1_r8_dishes_2_mini.png | (214,100)-> (216,100)
.\Room\8_Modern Kitchen\UI\c1_r8_dishes_3_mini.png | (182,98)-> (184,100)
.\Room\8_Modern Kitchen\UI\c1_r8_dishes_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_floor_1_mini.png | (207,104)-> (208,104)
.\Room\8_Modern Kitchen\UI\c1_r8_floor_2_mini.png | (207,104)-> (208,104)
.\Room\8_Modern Kitchen\UI\c1_r8_floor_3_mini.png | (207,104)-> (208,104)
.\Room\8_Modern Kitchen\UI\c1_r8_floor_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_fruit_1_mini.png | (214,84)-> (216,84)
.\Room\8_Modern Kitchen\UI\c1_r8_fruit_2_mini.png | (205,98)-> (208,100)
.\Room\8_Modern Kitchen\UI\c1_r8_fruit_3_mini.png | (202,82)-> (204,84)
.\Room\8_Modern Kitchen\UI\c1_r8_fruit_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_oven_1_mini.png | (141,166)-> (144,168)
.\Room\8_Modern Kitchen\UI\c1_r8_oven_2_mini.png | (138,165)-> (140,168)
.\Room\8_Modern Kitchen\UI\c1_r8_oven_3_mini.png | (139,165)-> (140,168)
.\Room\8_Modern Kitchen\UI\c1_r8_oven_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_pan_1_1_mini.png | (214,60)-> (216,60)
.\Room\8_Modern Kitchen\UI\c1_r8_pan_1_2_mini.png | (213,57)-> (216,60)
.\Room\8_Modern Kitchen\UI\c1_r8_pan_1_3_mini.png | (195,61)-> (196,64)
.\Room\8_Modern Kitchen\UI\c1_r8_pan_2_1_mini.png | (214,60)-> (216,60)
